SourceIntakeID,DateKey,CentreID,IntakeTypeID,AnimalKey,IntakeCount,FosterFlag
SB-100051,20250516,C021,IT02,33,1,0
SB-100052,20240516,C001,IT06,28,1,0
SB-100053,20240904,C020,IT02,28,1,0
SB-100054,20240512,C022,IT24,25,1,1
SB-100055,20251209,C023,IT07,18,1,1
SB-100056,20250108,C006,IT24,33,1,1
SB-100057,20251106,C016,IT24,29,1,0
SB-100058,20250707,C031,IT05,33,1,0
SB-100059,20241208,C008,IT18,11,1,0
SB-100060,20250810,C002,IT27,10,1,0
SB-100061,20250518,C006,IT01,35,1,1
SB-100062,20240629,C024,IT06,36,1,1
SB-100063,20240722,C001,IT32,4,1,0
SB-100064,20241215,C022,IT16,26,1,0
SB-100065,20250728,C002,IT04,28,1,1
SB-100066,20250425,C009,IT11,18,1,1
SB-100067,20240810,C019,IT05,11,1,1
SB-100068,20240622,C002,IT11,31,1,1
SB-100069,20240701,C010,IT18,40,1,0
SB-100070,20240724,C002,IT04,10,1,1
SB-100071,20240120,C012,IT05,39,1,0
SB-100072,20250624,C002,IT26,20,1,0
SB-100073,20250414,C009,IT09,8,1,1
SB-100074,20251010,C010,IT23,17,1,1
SB-100075,20250531,C001,IT03,23,1,1
SB-100076,20251223,C002,IT21,25,1,0
SB-100077,20240704,C011,IT09,18,1,0
SB-100078,20251217,C005,IT13,25,1,0
SB-100079,20251019,C004,IT04,27,1,1
SB-100080,20240616,C002,IT01,19,1,0
SB-100081,20240727,C004,IT16,29,1,0
SB-100082,20250621,C029,IT22,26,1,0
SB-100083,20250930,C007,IT11,26,1,0
SB-100084,20250809,C002,IT03,13,1,0
SB-100085,20250407,C005,IT03,28,1,0
SB-100086,20251012,C011,IT10,4,1,1
SB-100087,20240929,C005,IT05,4,1,0
SB-100088,20250812,C014,IT32,40,1,0
SB-100089,20240719,C001,IT20,19,1,0
SB-100090,20250918,C003,IT12,26,1,0
SB-100091,20240504,C006,IT06,27,1,0
SB-100092,20240810,C019,IT06,38,1,0
SB-100093,20250311,C009,IT06,13,1,0
SB-100094,20240909,C011,IT34,27,1,0
SB-100095,20240915,C003,IT07,31,1,0
SB-100096,20250716,C003,IT11,38,1,0
SB-100097,20250625,C002,IT33,25,1,1
SB-100098,20240610,C013,IT11,4,1,0
SB-100099,20250915,C009,IT03,34,1,0
SB-100100,20250701,C011,IT05,34,1,0
SB-100101,20240710,C013,IT07,37,1,1
SB-100102,20250827,C027,IT05,32,1,0
SB-100103,20250930,C011,IT23,12,1,0
SB-100104,20250501,C032,IT10,6,1,0
SB-100105,20240815,C013,IT11,19,1,0
SB-100106,20240621,C019,IT11,10,1,0
SB-100107,20240302,C021,IT16,33,1,0
SB-100108,20250612,C025,IT34,20,1,1
SB-100109,20250103,C014,IT26,35,1,0
SB-100110,20250205,C009,IT17,17,1,0
SB-100111,20240609,C009,IT33,14,1,0
SB-100112,20250608,C026,IT25,35,1,0
SB-100113,20240805,C020,IT21,35,1,1
SB-100114,20240406,C016,IT31,40,1,0
SB-100115,20240930,C002,IT13,35,1,0
SB-100116,20250623,C028,IT01,32,1,1
SB-100117,20240825,C003,IT11,23,1,0
SB-100118,20240614,C002,IT26,25,1,1
SB-100119,20250915,C003,IT09,11,1,1
SB-100120,20240114,C024,IT29,28,1,1
SB-100121,20241010,C006,IT12,26,1,0
SB-100122,20240713,C026,IT04,16,1,0
SB-100123,20240708,C014,IT12,40,1,1
SB-100124,20251201,C017,IT05,23,1,0
SB-100125,20250711,C001,IT12,20,1,0
SB-100126,20240725,C024,IT12,15,1,0
SB-100127,20250525,C018,IT17,27,1,0
SB-100128,20250530,C028,IT14,13,1,0
SB-100129,20250422,C021,IT02,12,1,0
SB-100130,20240616,C002,IT11,39,1,0
SB-100131,20250916,C025,IT05,33,1,0
SB-100132,20250802,C021,IT06,5,1,0
SB-100133,20240604,C031,IT25,29,1,0
SB-100134,20251116,C024,IT07,32,1,1
SB-100135,20250220,C009,IT15,27,1,0
SB-100136,20250807,C030,IT02,10,1,1
SB-100137,20250829,C013,IT30,9,1,1
SB-100138,20250808,C029,IT06,17,1,1
SB-100139,20251017,C005,IT10,4,1,0
SB-100140,20240602,C008,IT15,30,1,0
SB-100141,20240919,C021,IT03,17,1,1
SB-100142,20241216,C006,IT32,2,1,0
SB-100143,20241012,C030,IT25,4,1,0
SB-100144,20250303,C032,IT07,16,1,1
SB-100145,20240526,C026,IT09,27,1,0
SB-100146,20250508,C001,IT22,10,1,1
SB-100147,20250401,C002,IT21,9,1,1
SB-100148,20250824,C005,IT03,37,1,1
SB-100149,20250820,C003,IT03,11,1,1
SB-100150,20250611,C001,IT01,32,1,1
SB-100151,20240807,C003,IT01,30,1,0
SB-100152,20250711,C009,IT21,21,1,1
SB-100153,20250105,C030,IT01,32,1,0
SB-100154,20250130,C009,IT33,3,1,1
SB-100155,20240907,C019,IT10,37,1,1
SB-100156,20240423,C015,IT02,12,1,0
SB-100157,20250309,C005,IT34,22,1,1
SB-100158,20250514,C002,IT16,35,1,0
SB-100159,20250719,C020,IT04,19,1,1
SB-100160,20240813,C008,IT08,4,1,0
SB-100161,20250613,C006,IT03,37,1,1
SB-100162,20250810,C002,IT02,30,1,0
SB-100163,20250320,C014,IT11,14,1,1
SB-100164,20240818,C018,IT20,35,1,0
SB-100165,20251117,C015,IT07,24,1,1
SB-100166,20250610,C004,IT02,34,1,0
SB-100167,20250717,C014,IT23,34,1,0
SB-100168,20250806,C015,IT13,2,1,0
SB-100169,20250810,C004,IT04,29,1,0
SB-100170,20240813,C001,IT26,23,1,0
SB-100171,20240605,C016,IT01,30,1,1
SB-100172,20240920,C005,IT07,29,1,0
SB-100173,20250405,C002,IT01,7,1,0
SB-100174,20250616,C004,IT14,20,1,1
SB-100175,20240721,C022,IT02,18,1,1
SB-100176,20250618,C010,IT15,2,1,0
SB-100177,20250510,C001,IT06,9,1,1
SB-100178,20240715,C005,IT01,30,1,1
SB-100179,20240827,C019,IT10,34,1,0
SB-100180,20240411,C026,IT01,1,1,0
SB-100181,20250821,C014,IT11,29,1,0
SB-100182,20240521,C001,IT06,33,1,0
SB-100183,20250810,C029,IT02,34,1,1
SB-100184,20250503,C012,IT08,13,1,1
SB-100185,20240811,C003,IT10,5,1,0
SB-100186,20250910,C006,IT18,33,1,0
SB-100187,20240708,C003,IT04,25,1,0
SB-100188,20250609,C003,IT21,20,1,0
SB-100189,20250716,C008,IT31,23,1,0
SB-100190,20250528,C027,IT13,7,1,1
SB-100191,20241011,C005,IT05,3,1,1
SB-100192,20240803,C008,IT01,34,1,1
SB-100193,20250822,C026,IT12,21,1,1
SB-100194,20250317,C023,IT28,18,1,0
SB-100195,20250608,C005,IT09,7,1,1
SB-100196,20240513,C028,IT06,29,1,0
SB-100197,20240615,C004,IT09,18,1,1
SB-100198,20240611,C006,IT05,17,1,1
SB-100199,20250509,C023,IT14,3,1,1
SB-100200,20250618,C005,IT17,27,1,0
SB-100201,20250825,C005,IT12,6,1,1
SB-100202,20251116,C019,IT08,24,1,0
SB-100203,20240802,C006,IT22,33,1,0
SB-100204,20250809,C021,IT15,22,1,1
SB-100205,20240922,C006,IT07,8,1,1
SB-100206,20251019,C010,IT04,6,1,1
SB-100207,20250815,C002,IT21,34,1,0
SB-100208,20240223,C005,IT21,6,1,1
SB-100209,20240612,C025,IT21,33,1,1
SB-100210,20241004,C007,IT15,10,1,0
SB-100211,20240725,C021,IT09,22,1,1
SB-100212,20250802,C009,IT24,15,1,0
SB-100213,20251210,C009,IT05,16,1,0
SB-100214,20251114,C024,IT22,6,1,1
SB-100215,20250604,C027,IT11,5,1,0
SB-100216,20250817,C005,IT21,11,1,0
SB-100217,20240607,C008,IT32,9,1,0
SB-100218,20240817,C001,IT01,21,1,1
SB-100219,20251224,C006,IT01,38,1,0
SB-100220,20250608,C023,IT03,12,1,0
SB-100221,20250624,C003,IT16,18,1,1
SB-100222,20240421,C004,IT24,22,1,1
SB-100223,20250208,C002,IT06,13,1,1
SB-100224,20240920,C023,IT09,5,1,0
SB-100225,20250508,C001,IT10,10,1,1
SB-100226,20240927,C016,IT05,17,1,0
SB-100227,20240430,C031,IT02,22,1,1
SB-100228,20251215,C013,IT07,19,1,0
SB-100229,20251205,C004,IT01,32,1,1
SB-100230,20250707,C016,IT21,30,1,0
SB-100231,20240303,C013,IT23,8,1,0
SB-100232,20241111,C019,IT13,33,1,1
SB-100233,20250722,C009,IT06,2,1,1
SB-100234,20240228,C030,IT10,40,1,0
SB-100235,20240714,C022,IT04,15,1,0
SB-100236,20250822,C005,IT03,15,1,0
SB-100237,20250710,C028,IT07,39,1,0
SB-100238,20241228,C029,IT10,33,1,0
SB-100239,20240420,C015,IT23,22,1,1
SB-100240,20240422,C018,IT06,25,1,0
SB-100241,20250622,C006,IT01,35,1,0
SB-100242,20251229,C005,IT34,38,1,1
SB-100243,20250603,C006,IT22,28,1,0
SB-100244,20240605,C015,IT21,2,1,1
SB-100245,20250723,C006,IT07,23,1,0
SB-100246,20250618,C030,IT07,31,1,0
SB-100247,20250210,C006,IT14,10,1,1
SB-100248,20250708,C010,IT07,23,1,1
SB-100249,20240716,C008,IT34,12,1,0
SB-100250,20241219,C002,IT25,19,1,0
SB-100251,20241015,C002,IT15,34,1,0
SB-100252,20240816,C001,IT11,36,1,0
SB-100253,20250629,C029,IT13,32,1,0
SB-100254,20240525,C003,IT03,32,1,1
SB-100255,20250317,C006,IT22,23,1,0
SB-100256,20240501,C005,IT34,29,1,0
SB-100257,20250719,C025,IT02,39,1,0
SB-100258,20241022,C018,IT06,36,1,0
SB-100259,20250604,C003,IT33,18,1,0
SB-100260,20240318,C002,IT03,7,1,1
SB-100261,20250628,C006,IT32,36,1,0
SB-100262,20240713,C016,IT11,6,1,1
SB-100263,20250216,C011,IT03,38,1,1
SB-100264,20250611,C020,IT12,34,1,0
SB-100265,20250808,C001,IT01,26,1,0
SB-100266,20250608,C022,IT08,26,1,0
SB-100267,20250530,C005,IT33,20,1,0
SB-100268,20250620,C005,IT02,3,1,1
SB-100269,20241209,C003,IT12,13,1,0
SB-100270,20250707,C026,IT33,6,1,1
SB-100271,20250328,C005,IT09,11,1,1
SB-100272,20240508,C005,IT07,25,1,1
SB-100273,20250822,C003,IT06,24,1,0
SB-100274,20250717,C010,IT10,20,1,1
SB-100275,20240202,C030,IT10,39,1,1
SB-100276,20240818,C001,IT10,36,1,1
SB-100277,20241120,C012,IT24,18,1,0
SB-100278,20250705,C022,IT07,17,1,0
SB-100279,20240623,C013,IT02,21,1,0
SB-100280,20240723,C032,IT15,5,1,0
SB-100281,20240902,C023,IT06,38,1,0
SB-100282,20240625,C011,IT10,2,1,1
SB-100283,20240811,C009,IT09,25,1,0
SB-100284,20240809,C015,IT03,40,1,0
SB-100285,20240730,C005,IT24,22,1,1
SB-100286,20240730,C024,IT07,27,1,0
SB-100287,20250428,C024,IT18,28,1,1
SB-100288,20241125,C031,IT22,32,1,0
SB-100289,20250703,C014,IT03,26,1,0
SB-100290,20250814,C003,IT15,2,1,0
SB-100291,20240517,C001,IT06,7,1,0
SB-100292,20240913,C023,IT31,35,1,0
SB-100293,20240328,C003,IT04,14,1,0
SB-100294,20250205,C005,IT04,37,1,1
SB-100295,20240818,C022,IT17,26,1,0
SB-100296,20250518,C003,IT05,23,1,1
SB-100297,20251123,C005,IT06,9,1,0
SB-100298,20240805,C006,IT32,32,1,1
SB-100299,20240526,C018,IT07,40,1,0
SB-100300,20251029,C024,IT06,12,1,0
SB-100301,20240815,C008,IT05,20,1,1
SB-100302,20250223,C030,IT16,6,1,0
SB-100303,20250501,C004,IT15,22,1,1
SB-100304,20240314,C007,IT17,5,1,0
SB-100305,20240108,C013,IT31,17,1,0
SB-100306,20250827,C010,IT04,39,1,0
SB-100307,20250606,C028,IT02,23,1,0
SB-100308,20250703,C030,IT30,8,1,0
SB-100309,20240616,C029,IT34,16,1,0
SB-100310,20251003,C031,IT31,36,1,1
SB-100311,20250405,C002,IT34,12,1,0
SB-100312,20250302,C010,IT32,35,1,0
SB-100313,20240622,C002,IT03,19,1,1
SB-100314,20240620,C021,IT22,23,1,0
SB-100315,20240616,C026,IT29,34,1,0
SB-100316,20240501,C018,IT04,6,1,1
SB-100317,20240712,C004,IT05,31,1,0
SB-100318,20240731,C020,IT01,27,1,0
SB-100319,20240328,C002,IT06,17,1,0
SB-100320,20250903,C019,IT06,5,1,0
SB-100321,20240728,C016,IT04,6,1,1
SB-100322,20250712,C015,IT08,22,1,1
SB-100323,20250222,C018,IT04,10,1,0
SB-100324,20250825,C002,IT09,29,1,1
SB-100325,20250331,C001,IT11,21,1,1
SB-100326,20240607,C005,IT10,5,1,1
SB-100327,20250427,C002,IT10,33,1,0
SB-100328,20250119,C009,IT02,19,1,0
SB-100329,20250703,C006,IT23,30,1,0
SB-100330,20240304,C006,IT02,40,1,0
SB-100331,20240406,C030,IT01,17,1,0
SB-100332,20250718,C032,IT14,17,1,0
SB-100333,20240828,C027,IT29,16,1,0
SB-100334,20250612,C012,IT14,14,1,1
SB-100335,20250221,C012,IT18,9,1,1
SB-100336,20240201,C005,IT15,22,1,1
SB-100337,20250807,C004,IT07,12,1,0
SB-100338,20250704,C002,IT23,17,1,0
SB-100339,20250829,C001,IT04,5,1,1
SB-100340,20250509,C019,IT01,30,1,0
SB-100341,20240707,C004,IT26,3,1,1
SB-100342,20240726,C024,IT18,13,1,0
SB-100343,20250615,C005,IT06,6,1,0
SB-100344,20240702,C005,IT02,38,1,0
SB-100345,20250914,C016,IT08,20,1,0
SB-100346,20251010,C018,IT22,13,1,0
SB-100347,20240607,C006,IT20,19,1,0
SB-100348,20240730,C020,IT23,37,1,1
SB-100349,20251116,C013,IT03,10,1,1
SB-100350,20250606,C029,IT24,4,1,0
SB-100351,20240622,C004,IT15,25,1,0
SB-100352,20240621,C022,IT18,23,1,0
SB-100353,20250824,C005,IT33,1,1,0
SB-100354,20251108,C002,IT34,20,1,1
SB-100355,20250514,C003,IT30,23,1,0
SB-100356,20240827,C012,IT07,11,1,0
SB-100357,20241227,C002,IT34,19,1,0
SB-100358,20250916,C006,IT08,23,1,1
SB-100359,20240606,C004,IT32,24,1,0
SB-100360,20240608,C005,IT07,34,1,0
SB-100361,20250609,C019,IT05,33,1,0
SB-100362,20250605,C010,IT03,32,1,1
SB-100363,20250702,C010,IT30,22,1,1
SB-100364,20240323,C001,IT24,38,1,0
SB-100365,20250718,C007,IT24,10,1,0
SB-100366,20240113,C011,IT07,25,1,0
SB-100367,20250522,C010,IT10,1,1,0
SB-100368,20240117,C012,IT05,40,1,1
SB-100369,20250804,C018,IT23,37,1,1
SB-100370,20240508,C003,IT04,22,1,0
SB-100371,20240719,C006,IT07,17,1,0
SB-100372,20251218,C004,IT15,34,1,0
SB-100373,20250820,C022,IT02,16,1,0
SB-100374,20240319,C001,IT03,20,1,1
SB-100375,20250725,C013,IT25,4,1,0
SB-100376,20240229,C004,IT26,36,1,1
SB-100377,20240306,C002,IT31,36,1,1
SB-100378,20240216,C029,IT06,39,1,0
SB-100379,20250713,C020,IT08,4,1,1
SB-100380,20240709,C025,IT07,36,1,1
SB-100381,20250715,C003,IT34,29,1,0
SB-100382,20251125,C001,IT09,34,1,0
SB-100383,20250719,C031,IT08,31,1,1
SB-100384,20240721,C032,IT10,15,1,0
SB-100385,20240928,C018,IT14,4,1,0
SB-100386,20250730,C020,IT02,7,1,0
SB-100387,20250602,C021,IT06,5,1,1
SB-100388,20240802,C006,IT05,6,1,1
SB-100389,20241020,C013,IT08,2,1,0
SB-100390,20240505,C015,IT06,16,1,0
SB-100391,20240830,C002,IT29,37,1,0
SB-100392,20250411,C003,IT07,6,1,1
SB-100393,20241221,C001,IT08,17,1,0
SB-100394,20240418,C004,IT05,26,1,0
SB-100395,20240623,C002,IT06,38,1,1
SB-100396,20250525,C024,IT06,14,1,0
SB-100397,20250820,C031,IT03,13,1,0
SB-100398,20240625,C005,IT33,39,1,0
SB-100399,20250623,C010,IT12,10,1,0
SB-100400,20250805,C006,IT02,23,1,0
SB-100401,20250305,C018,IT11,39,1,0
SB-100402,20250628,C008,IT06,28,1,0
SB-100403,20250729,C007,IT10,26,1,1
SB-100404,20250611,C020,IT22,3,1,0
SB-100405,20241202,C006,IT10,37,1,1
SB-100406,20250302,C023,IT07,36,1,1
SB-100407,20250603,C002,IT21,27,1,0
SB-100408,20250607,C001,IT34,28,1,1
SB-100409,20250714,C031,IT08,1,1,1
SB-100410,20250115,C011,IT12,24,1,0
SB-100411,20240831,C022,IT12,21,1,1
SB-100412,20240204,C002,IT08,39,1,1
SB-100413,20251009,C003,IT06,19,1,1
SB-100414,20241207,C009,IT09,28,1,1
SB-100415,20240730,C024,IT03,34,1,0
SB-100416,20250617,C003,IT34,10,1,1
SB-100417,20240611,C013,IT33,10,1,0
SB-100418,20240620,C017,IT08,2,1,0
SB-100419,20240624,C015,IT07,29,1,1
SB-100420,20250714,C024,IT02,5,1,0
SB-100421,20240620,C005,IT09,11,1,0
SB-100422,20250208,C017,IT12,25,1,0
SB-100423,20240816,C026,IT12,33,1,0
SB-100424,20240729,C016,IT02,6,1,1
SB-100425,20240801,C003,IT16,21,1,1
SB-100426,20240603,C006,IT04,26,1,0
SB-100427,20250606,C032,IT11,20,1,1
SB-100428,20240804,C008,IT01,15,1,1
SB-100429,20240603,C024,IT33,21,1,1
SB-100430,20250620,C007,IT24,20,1,1
SB-100431,20240213,C022,IT06,11,1,0
SB-100432,20240614,C009,IT19,31,1,0
SB-100433,20240520,C002,IT21,33,1,0
SB-100434,20250807,C001,IT17,22,1,0
SB-100435,20240512,C025,IT20,12,1,0
SB-100436,20241021,C006,IT23,18,1,0
SB-100437,20250722,C004,IT23,24,1,0
SB-100438,20250629,C016,IT03,6,1,1
SB-100439,20240627,C001,IT07,12,1,0
SB-100440,20240807,C019,IT06,11,1,0
SB-100441,20251211,C018,IT02,39,1,0
SB-100442,20250919,C032,IT26,6,1,0
SB-100443,20240712,C020,IT24,31,1,0
SB-100444,20241216,C014,IT05,17,1,0
SB-100445,20250602,C027,IT02,21,1,1
SB-100446,20251003,C006,IT32,14,1,1
SB-100447,20250721,C021,IT18,19,1,0
SB-100448,20240820,C001,IT11,9,1,0
SB-100449,20240629,C004,IT24,14,1,0
SB-100450,20250403,C010,IT06,28,1,1
SB-100451,20240510,C023,IT09,5,1,0
SB-100452,20241010,C001,IT33,9,1,0
SB-100453,20240601,C017,IT03,38,1,1
SB-100454,20250609,C004,IT07,37,1,1
SB-100455,20240903,C005,IT16,10,1,0
SB-100456,20250626,C001,IT09,6,1,1
SB-100457,20250618,C001,IT16,33,1,0
SB-100458,20240922,C002,IT02,16,1,0
SB-100459,20240512,C005,IT27,6,1,0
SB-100460,20250714,C002,IT34,6,1,0
SB-100461,20240112,C017,IT09,29,1,0
SB-100462,20240608,C007,IT15,35,1,1
SB-100463,20240511,C022,IT12,16,1,0
SB-100464,20240804,C003,IT05,4,1,0
SB-100465,20250511,C015,IT21,28,1,0
SB-100466,20250611,C005,IT10,21,1,1
SB-100467,20240729,C001,IT29,39,1,0
SB-100468,20240519,C010,IT12,22,1,0
SB-100469,20251213,C030,IT03,35,1,0
SB-100470,20240822,C019,IT21,39,1,0
SB-100471,20240124,C001,IT05,2,1,1
SB-100472,20250726,C011,IT13,21,1,1
SB-100473,20250626,C002,IT11,25,1,1
SB-100474,20240803,C011,IT04,33,1,0
SB-100475,20240831,C016,IT24,28,1,1
SB-100476,20250625,C021,IT24,3,1,1
SB-100477,20240930,C008,IT12,13,1,0
SB-100478,20250709,C002,IT16,29,1,1
SB-100479,20251026,C012,IT22,29,1,1
SB-100480,20240529,C023,IT05,36,1,0
SB-100481,20240211,C024,IT05,3,1,1
SB-100482,20250418,C002,IT09,15,1,0
SB-100483,20250404,C006,IT05,5,1,0
SB-100484,20250703,C004,IT10,2,1,0
SB-100485,20240711,C009,IT07,7,1,0
SB-100486,20250819,C013,IT30,30,1,0
SB-100487,20240807,C007,IT17,11,1,1
SB-100488,20240825,C011,IT29,8,1,0
SB-100489,20251205,C030,IT02,19,1,0
SB-100490,20250815,C005,IT11,1,1,1
SB-100491,20250331,C005,IT13,19,1,0
SB-100492,20241222,C022,IT04,37,1,0
SB-100493,20240711,C001,IT08,10,1,0
SB-100494,20250813,C027,IT32,1,1,0
SB-100495,20250816,C020,IT02,22,1,1
SB-100496,20241220,C001,IT34,29,1,1
SB-100497,20250921,C028,IT10,29,1,0
SB-100498,20251126,C002,IT02,6,1,0
SB-100499,20240415,C013,IT08,39,1,1
SB-100500,20240716,C005,IT22,29,1,0
SB-100501,20240805,C004,IT02,9,1,0
SB-100502,20250429,C003,IT03,19,1,0
SB-100503,20250219,C031,IT04,13,1,1
SB-100504,20240524,C003,IT15,34,1,0
SB-100505,20240226,C025,IT06,4,1,1
SB-100506,20240819,C011,IT15,11,1,0
SB-100507,20240213,C006,IT09,30,1,1
SB-100508,20241108,C024,IT03,1,1,0
SB-100509,20251207,C002,IT23,15,1,0
SB-100510,20250606,C014,IT05,33,1,1
SB-100511,20240331,C028,IT09,6,1,0
SB-100512,20250810,C005,IT01,19,1,1
SB-100513,20250414,C025,IT08,2,1,0
SB-100514,20240615,C004,IT04,12,1,0
SB-100515,20240218,C016,IT05,12,1,0
SB-100516,20250312,C001,IT05,6,1,1
SB-100517,20250829,C012,IT13,33,1,0
SB-100518,20251217,C023,IT07,22,1,1
SB-100519,20250915,C011,IT07,8,1,1
SB-100520,20240702,C028,IT21,3,1,0
SB-100521,20250210,C022,IT34,39,1,1
SB-100522,20250610,C004,IT23,37,1,1
SB-100523,20251226,C004,IT24,32,1,1
SB-100524,20250813,C026,IT04,24,1,0
SB-100525,20250624,C029,IT01,29,1,0
SB-100526,20250330,C013,IT04,40,1,0
SB-100527,20241220,C005,IT10,4,1,1
SB-100528,20240702,C012,IT01,37,1,1
SB-100529,20240601,C020,IT30,34,1,0
SB-100530,20240131,C014,IT30,31,1,0
SB-100531,20250821,C031,IT07,38,1,1
SB-100532,20240511,C005,IT03,7,1,0
SB-100533,20250727,C031,IT14,7,1,0
SB-100534,20250623,C029,IT22,9,1,0
SB-100535,20240616,C005,IT15,6,1,0
SB-100536,20251021,C030,IT08,40,1,0
SB-100537,20240215,C015,IT31,39,1,1
SB-100538,20250402,C030,IT03,30,1,1
SB-100539,20251207,C003,IT28,4,1,0
SB-100540,20250604,C028,IT09,11,1,1
SB-100541,20240405,C004,IT02,1,1,0
SB-100542,20250707,C031,IT27,20,1,1
SB-100543,20250306,C002,IT09,35,1,0
SB-100544,20250621,C003,IT02,34,1,0
SB-100545,20240806,C030,IT02,7,1,1
SB-100546,20250706,C013,IT29,4,1,0
SB-100547,20250520,C010,IT01,38,1,1
SB-100548,20250831,C003,IT02,9,1,1
SB-100549,20250624,C020,IT18,11,1,0
SB-100550,20240708,C001,IT11,34,1,1
SB-100551,20240820,C007,IT06,27,1,0
SB-100552,20240625,C001,IT03,12,1,1
SB-100553,20250815,C005,IT08,20,1,1
SB-100554,20240504,C012,IT04,36,1,1
SB-100555,20241016,C004,IT09,10,1,1
SB-100556,20240327,C022,IT15,4,1,1
SB-100557,20250227,C031,IT12,23,1,0
SB-100558,20250806,C007,IT11,35,1,0
SB-100559,20250828,C009,IT02,37,1,1
SB-100560,20250103,C028,IT22,28,1,0
SB-100561,20240524,C022,IT04,40,1,0
SB-100562,20250802,C002,IT08,40,1,0
SB-100563,20251228,C016,IT24,11,1,0
SB-100564,20250916,C001,IT07,16,1,0
SB-100565,20240722,C009,IT26,32,1,0
SB-100566,20250201,C007,IT08,6,1,0
SB-100567,20250716,C030,IT31,23,1,1
SB-100568,20240725,C012,IT06,17,1,1
SB-100569,20241211,C015,IT01,12,1,1
SB-100570,20250517,C019,IT01,36,1,1
SB-100571,20240708,C021,IT31,36,1,1
SB-100572,20250805,C005,IT05,20,1,1
SB-100573,20240509,C027,IT03,39,1,0
SB-100574,20250808,C004,IT08,26,1,1
SB-100575,20240629,C025,IT19,31,1,0
SB-100576,20250807,C011,IT03,13,1,0
SB-100577,20240602,C026,IT27,2,1,1
SB-100578,20250811,C025,IT05,19,1,0
SB-100579,20250627,C005,IT23,21,1,1
SB-100580,20240527,C001,IT07,24,1,1
SB-100581,20250824,C014,IT07,7,1,0
SB-100582,20250712,C019,IT05,16,1,1
SB-100583,20250412,C031,IT25,26,1,0
SB-100584,20240719,C007,IT01,32,1,0
SB-100585,20240113,C029,IT14,25,1,1
SB-100586,20240713,C024,IT06,39,1,0
SB-100587,20240923,C006,IT07,11,1,0
SB-100588,20250617,C025,IT08,5,1,0
SB-100589,20250612,C026,IT07,26,1,0
SB-100590,20240730,C002,IT02,40,1,0
SB-100591,20250821,C004,IT16,36,1,1
SB-100592,20240607,C022,IT29,33,1,0
SB-100593,20250511,C018,IT15,29,1,0
SB-100594,20251228,C004,IT08,16,1,1
SB-100595,20250628,C014,IT04,30,1,1
SB-100596,20250218,C023,IT29,27,1,0
SB-100597,20250815,C025,IT27,8,1,1
SB-100598,20240530,C004,IT23,31,1,1
SB-100599,20250618,C005,IT02,15,1,0
SB-100600,20240802,C023,IT06,11,1,0
